raceId,circuitId,date
1,1,2009-03-29
2,2,2009-04-05
3,17,2009-04-19
4,3,2009-04-26
5,4,2009-05-10
6,6,2009-05-24
7,5,2009-06-07
8,9,2009-06-21
9,20,2009-07-12
10,11,2009-07-26
11,12,2009-08-23
12,13,2009-08-30
13,14,2009-09-13
14,15,2009-09-27
15,22,2009-10-04
16,18,2009-10-18
17,24,2009-11-01
18,1,2008-03-16
19,2,2008-03-23
20,3,2008-04-06
21,4,2008-04-27
22,5,2008-05-11
23,6,2008-05-25
24,7,2008-06-08
25,8,2008-06-22
26,9,2008-07-06
27,10,2008-07-20
28,11,2008-08-03
29,12,2008-08-24
30,13,2008-09-07
31,14,2008-09-14
32,15,2008-09-28
33,16,2008-10-12
34,17,2008-10-19
35,18,2008-11-02
36,1,2007-03-18
37,2,2007-04-08
38,3,2007-04-15
39,4,2007-05-13
40,6,2007-05-27
41,7,2007-06-10
42,19,2007-06-17
43,8,2007-07-01
44,9,2007-07-08
45,20,2007-07-22
46,11,2007-08-05
47,5,2007-08-26
48,14,2007-09-09
49,13,2007-09-16
50,16,2007-09-30
51,17,2007-10-07
52,18,2007-10-21
53,3,2006-03-12
54,2,2006-03-19
55,1,2006-04-02
56,21,2006-04-23
57,20,2006-05-07
58,4,2006-05-14
59,6,2006-05-28
60,9,2006-06-11
61,7,2006-06-25
62,19,2006-07-02
63,8,2006-07-16
64,10,2006-07-30
65,11,2006-08-06
66,5,2006-08-27
67,14,2006-09-10
68,17,2006-10-01
69,22,2006-10-08
70,18,2006-10-22
71,1,2005-03-06
72,2,2005-03-20
73,3,2005-04-03
74,21,2005-04-24
75,4,2005-05-08
76,6,2005-05-22
77,20,2005-05-29
78,7,2005-06-12
79,19,2005-06-19
80,8,2005-07-03
81,9,2005-07-10
82,10,2005-07-24
83,11,2005-07-31
84,5,2005-08-21
85,14,2005-09-04
86,13,2005-09-11
87,18,2005-09-25
88,22,2005-10-09
89,17,2005-10-16
90,1,2004-03-07
91,2,2004-03-21
92,3,2004-04-04
93,21,2004-04-25
94,4,2004-05-09
95,6,2004-05-23
96,20,2004-05-30
97,7,2004-06-13
98,19,2004-06-20
99,8,2004-07-04
100,9,2004-07-11
101,10,2004-07-25
102,11,2004-08-15
103,13,2004-08-29
104,14,2004-09-12
105,17,2004-09-26
106,22,2004-10-10
107,18,2004-10-24
108,1,2003-03-09
109,2,2003-03-23
110,18,2003-04-06
111,21,2003-04-20
112,4,2003-05-04
113,70,2003-05-18
114,6,2003-06-01
115,7,2003-06-15
116,20,2003-06-29
117,8,2003-07-06
118,9,2003-07-20
119,10,2003-08-03
120,11,2003-08-24
121,14,2003-09-14
122,19,2003-09-28
123,22,2003-10-12
124,1,2002-03-03
125,2,2002-03-17
126,18,2002-03-31
127,21,2002-04-14
128,4,2002-04-28
129,70,2002-05-12
130,6,2002-05-26
131,7,2002-06-09
132,20,2002-06-23
133,9,2002-07-07
134,8,2002-07-21
135,10,2002-07-28
136,11,2002-08-18
137,13,2002-09-01
138,14,2002-09-15
139,19,2002-09-29
140,22,2002-10-13
141,1,2001-03-04
142,2,2001-03-18
143,18,2001-04-01
144,21,2001-04-15
145,4,2001-04-29
146,70,2001-05-13
147,6,2001-05-27
148,7,2001-06-10
149,20,2001-06-24
150,8,2001-07-01
151,9,2001-07-15
152,10,2001-07-29
153,11,2001-08-19
154,13,2001-09-02
155,14,2001-09-16
156,19,2001-09-30
157,22,2001-10-14
158,1,2000-03-12
159,18,2000-03-26
160,21,2000-04-09
161,9,2000-04-23
162,4,2000-05-07
163,20,2000-05-21
164,6,2000-06-04
165,7,2000-06-18
166,8,2000-07-02
167,70,2000-07-16
168,10,2000-07-30
169,11,2000-08-13
170,13,2000-08-27
171,14,2000-09-10
172,19,2000-09-24
173,22,2000-10-08
174,2,2000-10-22
175,1,1999-03-07
176,18,1999-04-11
177,21,1999-05-02
178,6,1999-05-16
179,4,1999-05-30
180,7,1999-06-13
181,8,1999-06-27
182,9,1999-07-11
183,70,1999-07-25
184,10,1999-08-01
185,11,1999-08-15
186,13,1999-08-29
187,14,1999-09-12
188,20,1999-09-26
189,2,1999-10-17
190,22,1999-10-31
191,1,1998-03-08
192,18,1998-03-29
193,25,1998-04-12
194,21,1998-04-26
195,4,1998-05-10
196,6,1998-05-24
197,7,1998-06-07
198,8,1998-06-28
199,9,1998-07-12
200,70,1998-07-26
201,10,1998-08-02
202,11,1998-08-16
203,13,1998-08-30
204,14,1998-09-13
205,20,1998-09-27
206,22,1998-11-01
207,1,1997-03-09
208,18,1997-03-30
209,25,1997-04-13
210,21,1997-04-27
211,6,1997-05-11
212,4,1997-05-25
213,7,1997-06-15
214,8,1997-06-29
215,9,1997-07-13
216,10,1997-07-27
217,11,1997-08-10
218,13,1997-08-24
219,14,1997-09-07
220,70,1997-09-21
221,20,1997-09-28
222,22,1997-10-12
223,26,1997-10-26
224,1,1996-03-10
225,18,1996-03-31
226,25,1996-04-07
227,20,1996-04-28
228,21,1996-05-05
229,6,1996-05-19
230,4,1996-06-02
231,7,1996-06-16
232,8,1996-06-30
233,9,1996-07-14
234,10,1996-07-28
235,11,1996-08-11
236,13,1996-08-25
237,14,1996-09-08
238,27,1996-09-22
239,22,1996-10-13
240,18,1995-03-26
241,25,1995-04-09
242,21,1995-04-30
243,4,1995-05-14
244,6,1995-05-28
245,7,1995-06-11
246,8,1995-07-02
247,9,1995-07-16
248,10,1995-07-30
249,11,1995-08-13
250,13,1995-08-27
251,14,1995-09-10
252,27,1995-09-24
253,20,1995-10-01
254,28,1995-10-22
255,22,1995-10-29
256,29,1995-11-12
257,18,1994-03-27
258,28,1994-04-17
259,21,1994-05-01
260,6,1994-05-15
261,4,1994-05-29
262,7,1994-06-12
263,8,1994-07-03
264,9,1994-07-10
265,10,1994-07-31
266,11,1994-08-14
267,13,1994-08-28
268,14,1994-09-11
269,27,1994-09-25
270,26,1994-10-16
271,22,1994-11-06
272,29,1994-11-13
273,30,1993-03-14
274,18,1993-03-28
275,31,1993-04-11
276,21,1993-04-25
277,4,1993-05-09
278,6,1993-05-23
279,7,1993-06-13
280,8,1993-07-04
281,9,1993-07-11
282,10,1993-07-25
283,11,1993-08-15
284,13,1993-08-29
285,14,1993-09-12
286,27,1993-09-26
287,22,1993-10-24
288,29,1993-11-07
289,30,1992-03-01
290,32,1992-03-22
291,18,1992-04-05
292,4,1992-05-03
293,21,1992-05-17
294,6,1992-05-31
295,7,1992-06-14
296,8,1992-07-05
297,9,1992-07-12
298,10,1992-07-26
299,11,1992-08-16
300,13,1992-08-30
301,14,1992-09-13
302,27,1992-09-27
303,22,1992-10-25
304,29,1992-11-08
305,33,1991-03-10
306,18,1991-03-24
307,21,1991-04-28
308,6,1991-05-12
309,7,1991-06-02
310,32,1991-06-16
311,8,1991-07-07
312,9,1991-07-14
313,10,1991-07-28
314,11,1991-08-11
315,13,1991-08-25
316,14,1991-09-08
317,27,1991-09-22
318,4,1991-09-29
319,22,1991-10-20
320,29,1991-11-03
321,33,1990-03-11
322,18,1990-03-25
323,21,1990-05-13
324,6,1990-05-27
325,7,1990-06-10
326,32,1990-06-24
327,34,1990-07-08
328,9,1990-07-15
329,10,1990-07-29
330,11,1990-08-12
331,13,1990-08-26
332,14,1990-09-09
333,27,1990-09-23
334,26,1990-09-30
335,22,1990-10-21
336,29,1990-11-04
337,3,2010-03-14
338,1,2010-03-28
339,2,2010-04-04
340,17,2010-04-18
341,4,2010-05-09
342,6,2010-05-16
343,5,2010-05-30
344,7,2010-06-13
345,12,2010-06-27
346,9,2010-07-11
347,10,2010-07-25
348,11,2010-08-01
349,13,2010-08-29
350,14,2010-09-12
351,15,2010-09-26
352,22,2010-10-10
353,35,2010-10-24
354,18,2010-11-07
355,24,2010-11-14
356,36,1989-03-26
357,21,1989-04-23
358,6,1989-05-07
359,32,1989-05-28
360,33,1989-06-04
361,7,1989-06-18
362,34,1989-07-09
363,9,1989-07-16
364,10,1989-07-30
365,11,1989-08-13
366,13,1989-08-27
367,14,1989-09-10
368,27,1989-09-24
369,26,1989-10-01
370,22,1989-10-22
371,29,1989-11-05
372,36,1988-04-03
373,21,1988-05-01
374,6,1988-05-15
375,32,1988-05-29
376,7,1988-06-12
377,37,1988-06-19
378,34,1988-07-03
379,9,1988-07-10
380,10,1988-07-24
381,11,1988-08-07
382,13,1988-08-28
383,14,1988-09-11
384,27,1988-09-25
385,26,1988-10-02
386,22,1988-10-30
387,29,1988-11-13
388,36,1987-04-12
389,21,1987-05-03
390,13,1987-05-17
391,6,1987-05-31
392,37,1987-06-21
393,34,1987-07-05
394,9,1987-07-12
395,10,1987-07-26
396,11,1987-08-09
397,70,1987-08-16
398,14,1987-09-06
399,27,1987-09-20
400,26,1987-09-27
401,32,1987-10-18
402,22,1987-11-01
403,29,1987-11-15
404,36,1986-03-23
405,26,1986-04-13
406,21,1986-04-27
407,6,1986-05-11
408,13,1986-05-25
409,7,1986-06-15
410,37,1986-06-22
411,34,1986-07-06
412,38,1986-07-13
413,10,1986-07-27
414,11,1986-08-10
415,70,1986-08-17
416,14,1986-09-07
417,27,1986-09-21
418,32,1986-10-12
419,29,1986-10-26
420,36,1985-04-07
421,27,1985-04-21
422,21,1985-05-05
423,6,1985-05-19
424,7,1985-06-16
425,37,1985-06-23
426,34,1985-07-07
427,9,1985-07-21
428,20,1985-08-04
429,70,1985-08-18
430,39,1985-08-25
431,14,1985-09-08
432,13,1985-09-15
433,38,1985-10-06
434,30,1985-10-19
435,29,1985-11-03
436,36,1984-03-25
437,30,1984-04-07
438,40,1984-04-29
439,21,1984-05-06
440,41,1984-05-20
441,6,1984-06-03
442,7,1984-06-17
443,37,1984-06-24
444,42,1984-07-08
445,38,1984-07-22
446,10,1984-08-05
447,70,1984-08-19
448,39,1984-08-26
449,14,1984-09-09
450,20,1984-10-07
451,27,1984-10-21
452,36,1983-03-13
453,43,1983-03-27
454,34,1983-04-17
455,21,1983-05-01
456,6,1983-05-15
457,13,1983-05-22
458,37,1983-06-05
459,7,1983-06-12
460,9,1983-07-16
461,10,1983-08-07
462,70,1983-08-14
463,39,1983-08-28
464,14,1983-09-11
465,38,1983-09-25
466,30,1983-10-15
467,30,1982-01-23
468,36,1982-03-21
469,43,1982-04-04
470,21,1982-04-25
471,40,1982-05-09
472,6,1982-05-23
473,37,1982-06-06
474,7,1982-06-13
475,39,1982-07-03
476,38,1982-07-18
477,34,1982-07-25
478,10,1982-08-08
479,70,1982-08-15
480,41,1982-08-29
481,14,1982-09-12
482,44,1982-09-25
483,43,1981-03-15
484,36,1981-03-29
485,25,1981-04-12
486,21,1981-05-03
487,40,1981-05-17
488,6,1981-05-31
489,45,1981-06-21
490,41,1981-07-05
491,9,1981-07-18
492,10,1981-08-02
493,70,1981-08-16
494,39,1981-08-30
495,14,1981-09-13
496,7,1981-09-27
497,44,1981-10-17
498,25,1980-01-13
499,18,1980-01-27
500,30,1980-03-01
501,43,1980-03-30
502,40,1980-05-04
503,6,1980-05-18
504,34,1980-06-29
505,38,1980-07-13
506,10,1980-08-10
507,70,1980-08-17
508,39,1980-08-31
509,21,1980-09-14
510,7,1980-09-28
511,46,1980-10-05
512,25,1979-01-21
513,18,1979-02-04
514,30,1979-03-03
515,43,1979-04-08
516,45,1979-04-29
517,40,1979-05-13
518,6,1979-05-27
519,41,1979-07-01
520,9,1979-07-14
521,10,1979-07-29
522,70,1979-08-12
523,39,1979-08-26
524,14,1979-09-09
525,7,1979-09-30
526,46,1979-10-07
527,25,1978-01-15
528,36,1978-01-29
529,30,1978-03-04
530,43,1978-04-02
531,6,1978-05-07
532,40,1978-05-21
533,45,1978-06-04
534,47,1978-06-17
535,34,1978-07-02
536,38,1978-07-16
537,10,1978-07-30
538,70,1978-08-13
539,39,1978-08-27
540,14,1978-09-10
541,46,1978-10-01
542,7,1978-10-08
543,25,1977-01-09
544,18,1977-01-23
545,30,1977-03-05
546,43,1977-04-03
547,45,1977-05-08
548,6,1977-05-22
549,40,1977-06-05
550,47,1977-06-19
551,41,1977-07-03
552,9,1977-07-16
553,10,1977-07-31
554,70,1977-08-14
555,39,1977-08-28
556,14,1977-09-11
557,46,1977-10-02
558,48,1977-10-09
559,16,1977-10-23
560,18,1976-01-25
561,30,1976-03-06
562,43,1976-03-28
563,45,1976-05-02
564,40,1976-05-16
565,6,1976-05-30
566,47,1976-06-13
567,34,1976-07-04
568,38,1976-07-18
569,20,1976-08-01
570,70,1976-08-15
571,39,1976-08-29
572,14,1976-09-12
573,48,1976-10-03
574,46,1976-10-10
575,16,1976-10-24
576,25,1975-01-12
577,18,1975-01-26
578,30,1975-03-01
579,49,1975-04-27
580,6,1975-05-11
581,40,1975-05-25
582,47,1975-06-08
583,39,1975-06-22
584,34,1975-07-06
585,9,1975-07-19
586,20,1975-08-03
587,70,1975-08-17
588,14,1975-09-07
589,46,1975-10-05
590,25,1974-01-13
591,18,1974-01-27
592,30,1974-03-30
593,45,1974-04-28
594,50,1974-05-12
595,6,1974-05-26
596,47,1974-06-09
597,39,1974-06-23
598,41,1974-07-07
599,38,1974-07-20
600,20,1974-08-04
601,70,1974-08-18
602,14,1974-09-08
603,48,1974-09-22
604,46,1974-10-06
605,25,1973-01-28
606,18,1973-02-11
607,30,1973-03-03
608,49,1973-04-29
609,40,1973-05-20
610,6,1973-06-03
611,47,1973-06-17
612,34,1973-07-01
613,9,1973-07-14
614,39,1973-07-29
615,20,1973-08-05
616,70,1973-08-19
617,14,1973-09-09
618,48,1973-09-23
619,46,1973-10-07
620,25,1972-01-23
621,30,1972-03-04
622,45,1972-05-01
623,6,1972-05-14
624,50,1972-06-04
625,51,1972-07-02
626,38,1972-07-15
627,20,1972-07-30
628,70,1972-08-13
629,14,1972-09-10
630,48,1972-09-24
631,46,1972-10-08
632,30,1971-03-06
633,49,1971-04-18
634,6,1971-05-23
635,39,1971-06-20
636,34,1971-07-04
637,9,1971-07-17
638,20,1971-08-01
639,70,1971-08-15
640,14,1971-09-05
641,48,1971-09-19
642,46,1971-10-03
643,30,1970-03-07
644,45,1970-04-19
645,6,1970-05-10
646,13,1970-06-07
647,39,1970-06-21
648,51,1970-07-05
649,38,1970-07-18
650,10,1970-08-02
651,70,1970-08-16
652,14,1970-09-06
653,52,1970-09-20
654,46,1970-10-04
655,32,1970-10-25
656,30,1969-03-01
657,49,1969-05-04
658,6,1969-05-18
659,39,1969-06-21
660,51,1969-07-06
661,9,1969-07-19
662,20,1969-08-03
663,14,1969-09-07
664,48,1969-09-20
665,46,1969-10-05
666,32,1969-10-19
667,30,1968-01-01
668,45,1968-05-12
669,6,1968-05-26
670,13,1968-06-09
671,39,1968-06-23
672,53,1968-07-07
673,38,1968-07-20
674,20,1968-08-04
675,14,1968-09-08
676,52,1968-09-22
677,46,1968-10-06
678,32,1968-11-03
679,30,1967-01-02
680,6,1967-05-07
681,39,1967-06-04
682,13,1967-06-18
683,54,1967-07-02
684,9,1967-07-15
685,20,1967-08-06
686,48,1967-08-27
687,14,1967-09-10
688,46,1967-10-01
689,32,1967-10-22
690,6,1966-05-22
691,13,1966-06-12
692,55,1966-07-03
693,38,1966-07-16
694,39,1966-07-24
695,20,1966-08-07
696,14,1966-09-04
697,46,1966-10-02
698,32,1966-10-23
699,56,1965-01-01
700,6,1965-05-30
701,13,1965-06-13
702,51,1965-06-27
703,9,1965-07-10
704,39,1965-07-18
705,20,1965-08-01
706,14,1965-09-12
707,46,1965-10-03
708,32,1965-10-24
709,6,1964-05-10
710,39,1964-05-24
711,13,1964-06-14
712,53,1964-06-28
713,38,1964-07-11
714,20,1964-08-02
715,57,1964-08-23
716,14,1964-09-06
717,46,1964-10-04
718,32,1964-10-25
719,6,1963-05-26
720,13,1963-06-09
721,39,1963-06-23
722,55,1963-06-30
723,9,1963-07-20
724,20,1963-08-04
725,14,1963-09-08
726,46,1963-10-06
727,32,1963-10-27
728,56,1963-12-28
729,39,1962-05-20
730,6,1962-06-03
731,13,1962-06-17
732,53,1962-07-08
733,58,1962-07-21
734,20,1962-08-05
735,14,1962-09-16
736,46,1962-10-07
737,56,1962-12-29
738,6,1961-05-14
739,39,1961-05-22
740,13,1961-06-18
741,55,1961-07-02
742,58,1961-07-15
743,20,1961-08-06
744,14,1961-09-10
745,46,1961-10-08
746,25,1960-02-07
747,6,1960-05-29
748,19,1960-05-30
749,39,1960-06-06
750,13,1960-06-19
751,55,1960-07-03
752,9,1960-07-16
753,59,1960-08-14
754,14,1960-09-04
755,60,1960-11-20
756,6,1959-05-10
757,19,1959-05-30
758,39,1959-05-31
759,55,1959-07-05
760,58,1959-07-18
761,61,1959-08-02
762,62,1959-08-23
763,14,1959-09-13
764,63,1959-12-12
765,25,1958-01-19
766,6,1958-05-18
767,39,1958-05-26
768,19,1958-05-30
769,13,1958-06-15
770,55,1958-07-06
771,9,1958-07-19
772,20,1958-08-03
773,59,1958-08-24
774,14,1958-09-07
775,64,1958-10-19
776,25,1957-01-13
777,6,1957-05-19
778,19,1957-05-30
779,53,1957-07-07
780,58,1957-07-20
781,20,1957-08-04
782,65,1957-08-18
783,14,1957-09-08
784,25,1956-01-22
785,6,1956-05-13
786,19,1956-05-30
787,13,1956-06-03
788,55,1956-07-01
789,9,1956-07-14
790,20,1956-08-05
791,14,1956-09-02
792,25,1955-01-16
793,6,1955-05-22
794,19,1955-05-30
795,13,1955-06-05
796,39,1955-06-19
797,58,1955-07-16
798,14,1955-09-11
799,25,1954-01-17
800,19,1954-05-31
801,13,1954-06-20
802,55,1954-07-04
803,9,1954-07-17
804,20,1954-08-01
805,66,1954-08-22
806,14,1954-09-05
807,67,1954-10-24
808,25,1953-01-18
809,19,1953-05-30
810,39,1953-06-07
811,13,1953-06-21
812,55,1953-07-05
813,9,1953-07-18
814,20,1953-08-02
815,66,1953-08-23
816,14,1953-09-13
817,66,1952-05-18
818,19,1952-05-30
819,13,1952-06-22
820,53,1952-07-06
821,9,1952-07-19
822,20,1952-08-03
823,39,1952-08-17
824,14,1952-09-07
825,66,1951-05-27
826,19,1951-05-30
827,13,1951-06-17
828,55,1951-07-01
829,9,1951-07-14
830,20,1951-07-29
831,14,1951-09-16
832,67,1951-10-28
833,9,1950-05-13
834,6,1950-05-21
835,19,1950-05-30
836,66,1950-06-04
837,13,1950-06-18
838,55,1950-07-02
839,14,1950-09-03
841,1,2011-03-27
842,2,2011-04-10
843,17,2011-04-17
844,5,2011-05-08
845,4,2011-05-22
846,6,2011-05-29
847,7,2011-06-12
848,12,2011-06-26
849,9,2011-07-10
850,20,2011-07-24
851,11,2011-07-31
852,13,2011-08-28
853,14,2011-09-11
854,15,2011-09-25
855,22,2011-10-09
856,35,2011-10-16
857,68,2011-10-30
858,24,2011-11-13
859,18,2011-11-27
860,1,2012-03-18
861,2,2012-03-25
862,17,2012-04-15
863,3,2012-04-22
864,4,2012-05-13
865,6,2012-05-27
866,7,2012-06-10
867,12,2012-06-24
868,9,2012-07-08
869,10,2012-07-22
870,11,2012-07-29
871,13,2012-09-02
872,14,2012-09-09
873,15,2012-09-23
874,22,2012-10-07
875,35,2012-10-14
876,68,2012-10-28
877,24,2012-11-04
878,69,2012-11-18
879,18,2012-11-25
880,1,2013-03-17
881,2,2013-03-24
882,17,2013-04-14
883,3,2013-04-21
884,4,2013-05-12
885,6,2013-05-26
886,7,2013-06-09
887,9,2013-06-30
888,20,2013-07-07
890,11,2013-07-28
891,13,2013-08-25
892,14,2013-09-08
893,15,2013-09-22
894,35,2013-10-06
895,22,2013-10-13
896,68,2013-10-27
897,24,2013-11-03
898,69,2013-11-17
899,18,2013-11-24
900,1,2014-03-16
901,2,2014-03-30
902,3,2014-04-06
903,17,2014-04-20
904,4,2014-05-11
905,6,2014-05-25
906,7,2014-06-08
907,70,2014-06-22
908,9,2014-07-06
909,10,2014-07-20
910,11,2014-07-27
911,13,2014-08-24
912,14,2014-09-07
913,15,2014-09-21
914,22,2014-10-05
915,71,2014-10-12
916,69,2014-11-02
917,18,2014-11-09
918,24,2014-11-23
931,6,2015-05-24
932,7,2015-06-07
929,3,2015-04-19
930,4,2015-05-10
928,17,2015-04-12
926,1,2015-03-15
927,2,2015-03-29
933,70,2015-06-21
934,9,2015-07-05
936,11,2015-07-26
937,13,2015-08-23
938,14,2015-09-06
939,15,2015-09-20
940,22,2015-09-27
941,71,2015-10-11
942,69,2015-10-25
943,32,2015-11-01
944,18,2015-11-15
945,24,2015-11-29
948,1,2016-03-20
949,3,2016-04-03
950,17,2016-04-17
951,71,2016-05-01
952,4,2016-05-15
953,6,2016-05-29
954,7,2016-06-12
955,73,2016-06-19
956,70,2016-07-03
957,9,2016-07-10
958,11,2016-07-24
959,10,2016-07-31
960,13,2016-08-28
961,14,2016-09-04
962,15,2016-09-18
963,2,2016-10-02
964,22,2016-10-09
965,69,2016-10-23
966,32,2016-10-30
967,18,2016-11-13
968,24,2016-11-27
969,1,2017-03-26
970,17,2017-04-09
971,3,2017-04-16
972,71,2017-04-30
973,4,2017-05-14
974,6,2017-05-28
975,7,2017-06-11
976,73,2017-06-25
977,70,2017-07-09
978,9,2017-07-16
979,11,2017-07-30
980,13,2017-08-27
981,14,2017-09-03
982,15,2017-09-17
983,2,2017-10-01
984,22,2017-10-08
985,69,2017-10-22
986,32,2017-10-29
987,18,2017-11-12
988,24,2017-11-26
989,1,2018-03-25
990,3,2018-04-08
991,17,2018-04-15
992,73,2018-04-29
993,4,2018-05-13
994,6,2018-05-27
995,7,2018-06-10
996,34,2018-06-24
997,70,2018-07-01
998,9,2018-07-08
999,10,2018-07-22
1000,11,2018-07-29
1001,13,2018-08-26
1002,14,2018-09-02
1003,15,2018-09-16
1004,71,2018-09-30
1005,22,2018-10-07
1006,69,2018-10-21
1007,32,2018-10-28
1008,18,2018-11-11
1009,24,2018-11-25
1010,1,2019-03-17
1011,3,2019-03-31
1012,17,2019-04-14
1013,73,2019-04-28
1014,4,2019-05-12
1015,6,2019-05-26
1016,7,2019-06-09
1017,34,2019-06-23
1018,70,2019-06-30
1019,9,2019-07-14
1020,10,2019-07-28
1021,11,2019-08-04
1022,13,2019-09-01
1023,14,2019-09-08
1024,15,2019-09-22
1025,71,2019-09-29
1026,22,2019-10-13
1027,32,2019-10-27
1028,69,2019-11-03
1029,18,2019-11-17
1030,24,2019-12-01
1031,70,2020-07-05
1032,70,2020-07-12
1033,11,2020-07-19
1034,9,2020-08-02
1035,9,2020-08-09
1036,4,2020-08-16
1037,13,2020-08-30
1038,14,2020-09-06
1039,76,2020-09-13
1040,71,2020-09-27
1041,20,2020-10-11
1042,75,2020-10-25
1043,21,2020-11-01
1044,5,2020-11-15
1045,3,2020-11-29
1046,3,2020-12-06
1047,24,2020-12-13
1053,21,2021-04-18
1074,3,2022-03-20
1052,3,2021-03-28
1051,78,2021-11-21
1054,75,2021-05-02
1055,4,2021-05-09
1056,6,2021-05-23
1057,73,2021-06-06
1058,70,2021-06-27
1059,34,2021-06-20
1060,70,2021-07-04
1061,9,2021-07-18
1062,11,2021-08-01
1063,13,2021-08-29
1064,39,2021-09-05
1065,14,2021-09-12
1066,71,2021-09-26
1067,5,2021-10-10
1069,69,2021-10-24
1070,32,2021-11-07
1071,18,2021-11-14
1072,77,2021-12-05
1073,24,2021-12-12
1075,77,2022-03-27
1076,1,2022-04-10
1077,21,2022-04-24
1078,79,2022-05-08
1079,4,2022-05-22
1080,6,2022-05-29
1081,73,2022-06-12
1082,7,2022-06-19
1083,9,2022-07-03
1084,70,2022-07-10
1085,34,2022-07-24
1086,11,2022-07-31
1087,13,2022-08-28
1088,39,2022-09-04
1089,14,2022-09-11
1091,15,2022-10-02
1092,22,2022-10-09
1093,69,2022-10-23
1094,32,2022-10-30
1095,18,2022-11-13
1096,24,2022-11-20
1098,3,2023-03-05
1099,77,2023-03-19
1100,1,2023-04-02
1101,73,2023-04-30
1102,79,2023-05-07
1104,6,2023-05-28
1105,4,2023-06-04
1106,7,2023-06-18
1107,70,2023-07-02
1108,9,2023-07-09
1109,11,2023-07-23
1110,13,2023-07-30
1111,39,2023-08-27
1112,14,2023-09-03
1113,15,2023-09-17
1114,22,2023-09-24
1115,78,2023-10-08
1116,69,2023-10-22
1117,32,2023-10-29
1118,18,2023-11-05
1119,80,2023-11-19
1120,24,2023-11-26
